,index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
0,0,1054724026,3.03576E+15,16193,1054724026,6115,AliExpress WW,Real Pricetracker,,,ES,259,Electronics from special stores,sale,3.56,pending,0,tabm,,,,,0.02,USD,,,0,,5/23/2024 12:56,5/23/2024 13:00,,5/23/2024 13:04,1255455381,21070,5/23/2024 13:00,3.56,0.02,0.75,208811,TRUE,https://www.aliexpress.com/item/1005006425338545.html?pdp_npi=4%40dis%21USD%215.36%213.75%21%21%215.36%213.75%21%40210153c417164587332061411d143a%2112000037119730869%21affd%21%21%21,1.00501E+15,https://ae01.alicdn.com/kf/Sc65e21fec3ba48c4a02c3de3899a1900R.jpg,"Kit de herramientas de reparacin de bicicletas de montaa, multiherramienta 8 en 1, juego de reparacin de radios, llave Allen hexagonal, destornillador, cadena, accesorios de acero",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1054724004,3.03565E+15,16193,1054724004,6115,AliExpress WW,Real Pricetracker,,,ES,201,Electronics from special stores,sale,46.88,pending,0,tabm,,,,,0.35,USD,,,0,,5/23/2024 12:54,5/23/2024 12:57,,5/23/2024 13:04,1255455358,21070,5/23/2024 12:57,46.88,0.35,0.75,208811,TRUE,https://www.aliexpress.com/item/1005006614134682.html?pdp_npi=4%40dis%21USD%2126.00%2126.00%21%21%2126.00%2126.00%21%40210152b117164587376971302d143c%2112000037827467171%21affd%21%21%21,1.00501E+15,https://ae01.alicdn.com/kf/Sd5da0ca44dc64a6aac9888db51290d46Y.jpg,Boquilla hotend piezas de impresora 3D,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,1054721725,8.18919E+15,16193,1054721725,6115,AliExpress WW,Real Pricetracker,,,FR,204,Electronics from special stores,sale,22.8,pending,0,tabm,,,,,0.17,USD,,,0,,5/23/2024 12:02,5/23/2024 12:05,,5/23/2024 13:02,1255452976,21070,5/23/2024 12:05,22.8,0.17,0.75,208811,TRUE,https://www.aliexpress.com/item/1005004461329211.html?pdp_npi=4%40dis%21USD%216.99%216.99%21%21%216.99%216.99%21%40212a612a17164589491313687d142a%2112000029251159232%21affd%21%21%21,1.005E+15,https://ae01.alicdn.com/kf/S2fd3b02bba46458f94837f8fa015c887M.jpg,"Vaporisateur de parfum de Style Vintage avec ampoule  Air, vaporisateur classique, bouteille vide avec Long gland, bouteille de parfum en verre  brume Fine de 80ml",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,1054696607,3.03572E+15,16193,1054696607,6115,AliExpress WW,Real Pricetracker,,,ES,265,Electronics from special stores,sale,10.72,pending,0,tabm,,,,,0.08,USD,,,0,,5/23/2024 9:13,5/23/2024 9:17,,5/23/2024 10:02,1255420662,21070,5/23/2024 9:17,10.72,0.08,0.75,208811,TRUE,https://www.aliexpress.com/item/1005006171149528.html?pdp_npi=4%40dis%21USD%2112.85%2112.85%21%21%2192.72%2192.72%21%402140e0f017164480684004211d13d2%2112000036102730735%21affd%21%21%21,1.00501E+15,https://ae01.alicdn.com/kf/S7ceeca628b52421d98c24fc0a58bf4045.jpg,"Camiseta de Motocross todoterreno para hombre y mujer, camiseta Montesa para motocicleta, camiseta para mujer",200000343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,1054500157,FN3441503626_467262531004,6420,1054500157,15591,Ajio [CPS] IN,xocoupon,,,IN,176,Cost per sale,sale,1393,pending,0,,,,,,58.51,INR,,,0,,5/22/2024 13:46,5/22/2024 13:49,,5/22/2024 13:49,1255073275,7404,5/22/2024 13:49,1393,58.51,4.2,762616,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,1054500123,FN3441503626_465733104007,6420,1054500123,15591,Ajio [CPS] IN,xocoupon,,,IN,138,Cost per sale,sale,429,pending,0,,,,,,18.02,INR,,,0,,5/22/2024 13:46,5/22/2024 13:48,,5/22/2024 13:48,1255073248,7404,5/22/2024 13:48,429,18.02,4.2,762616,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,1054378065,15962.5985.1280323,28955,1054378065,30956,Pdffiller Many Geos,Real Pricetracker,,,AU,682,Sale,sale,,pending,0,tabm,,,,,0,USD,,,0,,5/22/2024 7:00,5/22/2024 7:12,,5/22/2024 7:33,1254800522,63584,5/22/2024 7:12,0,0,0,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,1054373445,126674042,5200,1054373445,14627,Flipkart [CPS] IN,Real Pricetracker,,https://www.flipkart.com/,IN,87,New Customer,sale,1599,pending,0,gmg,,,,,33.6,INR,,,0,,5/22/2024 6:04,5/22/2024 6:05,,5/22/2024 6:23,1254795505,5686,5/22/2024 6:05,1599,33.6,2.11,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8,1054349057,1036.5985.776928,10448,1054349057,18239,Adorama WW,Real Pricetracker,,,US,767,Paid order ,sale,281.91,pending,0,tabm,,,,,5.64,EUR,,,0,,5/21/2024 23:51,5/22/2024 0:04,,5/22/2024 0:21,1254769906,13106,5/22/2024 0:04,281.91,5.64,2.01,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,1054260033,15962.5985.31004,28955,1054260033,30956,Pdffiller Many Geos,Real Pricetracker,,,AU,804,Sale,sale,,pending,0,,,,,,0,USD,,,0,,5/21/2024 11:55,5/21/2024 12:09,,5/21/2024 12:27,1254663440,63584,5/21/2024 12:09,0,0,0,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
