Inventory,Campaign_Name,Id,Status,Date,Amount,Payout,Currency,Sub_Id,Partner
Hyyzo,TataCliq [CPS] IN,1055337333,pending,5/26/2024,2688,94.08,INR,PmZfYcTDDl3uqQyiHLBk,Admitad
Hyyzo,Flipkart [CPS] IN,1055251343,pending,5/26/2024,12499,0,INR,vLVwF1M3NLn47I9Cb1Bt,Admitad
Hyyzo,Flipkart [CPS] IN,1055206793,pending,5/25/2024,188,4.2,INR,7a8vBv5IfS1aYVSx5yy3,Admitad
Hyyzo,Flipkart [CPS] IN,1055138754,pending,5/25/2024,1,0,INR,6ZD3cAlicyn2BONpRLNA,Admitad
Hyyzo,Flipkart [CPS] IN,1055138735,pending,5/25/2024,1,0,INR,6ZD3cAlicyn2BONpRLNA,Admitad
Hyyzo,Flipkart [CPS] IN,1055083107,pending,5/25/2024,559,11.9,INR,uLpl3QVMw8h2Vv7HO7zf,Admitad
Hyyzo,Flipkart [CPS] IN,1055060547,pending,5/25/2024,719,15.4,INR,cobmCgHsL3Z0zs2d0gXF,Admitad
Hyyzo,Libas [CPS] IN,1055030429,pending,5/24/2024,639,44.73,INR,qsHybyjH8OPPhrmu7BZ0,Admitad
Hyyzo,Flipkart [CPS] IN,1055019537,pending,5/24/2024,248,4.9,INR,COiBXuhXM9Z87m2jfRyv,Admitad
Hyyzo,Flipkart [CPS] IN,1054946129,pending,5/24/2024,494,34.3,INR,jKGfIAZl6UZ3mVjRonZk,Admitad
Hyyzo,Flipkart [CPS] IN,1054927567,pending,5/24/2024,537,11.2,INR,Lu6EijpUNneQG7kK4QS8,Admitad
Hyyzo,Flipkart [CPS] IN,1054919038,pending,5/24/2024,281,5.6,INR,axX9zsHg7tolfscskExt,Admitad
Hyyzo,Flipkart [CPS] IN,1054832038,pending,5/24/2024,179,3.5,INR,v4XAw6ICx8Lz4TYbRwrg,Admitad
Hyyzo,Flipkart [CPS] IN,1054832033,pending,5/24/2024,246,7,INR,v4XAw6ICx8Lz4TYbRwrg,Admitad
Hyyzo,Flipkart [CPS] IN,1054832029,pending,5/24/2024,176,3.5,INR,v4XAw6ICx8Lz4TYbRwrg,Admitad
Hyyzo,Flipkart [CPS] IN,1054832025,pending,5/24/2024,349,7,INR,v4XAw6ICx8Lz4TYbRwrg,Admitad
Hyyzo,Flipkart [CPS] IN,1054812296,pending,5/23/2024,199,4.2,INR,vDSLByVNor9izyRlsnPy,Admitad
Hyyzo,Flipkart [CPS] IN,1054757396,pending,5/23/2024,493,34.3,INR,dWeAF7sWiFoZnP5MQ9EJ,Admitad
Hyyzo,Lenskart [CPS] IN,1054720435,pending,5/23/2024,0,0,INR,4cLD9axLcttCNAlyHc6Z,Admitad
Hyyzo,Flipkart [CPS] IN,1054699131,pending,5/23/2024,7191,140,INR,gzhpbrCRK0TjXRZ0Xa2p,Admitad
Hyyzo,Flipkart [CPS] IN,1054603219,pending,5/23/2024,127,0.7,INR,Px63Be6YFqIQVRABQ7Gt,Admitad
Hyyzo,Flipkart [CPS] IN,1054603210,pending,5/23/2024,8,0,INR,Px63Be6YFqIQVRABQ7Gt,Admitad
Hyyzo,Flipkart [CPS] IN,1054603198,pending,5/23/2024,8,0,INR,Px63Be6YFqIQVRABQ7Gt,Admitad
Hyyzo,Flipkart [CPS] IN,1054603187,pending,5/23/2024,8,0,INR,Px63Be6YFqIQVRABQ7Gt,Admitad
Hyyzo,Flipkart [CPS] IN,1054603173,pending,5/23/2024,42,0,INR,Px63Be6YFqIQVRABQ7Gt,Admitad
Hyyzo,Flipkart [CPS] IN,1054603159,pending,5/23/2024,20,0,INR,Px63Be6YFqIQVRABQ7Gt,Admitad
Hyyzo,Flipkart [CPS] IN,1054603147,pending,5/23/2024,20,0,INR,Px63Be6YFqIQVRABQ7Gt,Admitad
Hyyzo,Flipkart [CPS] IN,1054603134,pending,5/23/2024,20,0,INR,Px63Be6YFqIQVRABQ7Gt,Admitad
Hyyzo,Flipkart [CPS] IN,1054592205,pending,5/23/2024,213,4.2,INR,Q6oNwGJP7rBvkEJA3cJH,Admitad
Hyyzo,Shopsy App [CPS] IN,1054550656,pending,5/22/2024,355,12.61,INR,qW20U3H2N7L1fHaV0Xha,Admitad
Hyyzo,Flipkart [CPS] IN,1054543205,pending,5/22/2024,180,4.9,INR,BY7Pnc3RnSYZqicOvk8B,Admitad
Hyyzo,Ajio [CPS] IN,1054505144,pending,5/22/2024,405.86,21.96,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054505038,pending,5/22/2024,602.84,32.62,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054505028,pending,5/22/2024,512.84,27.75,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054505025,pending,5/22/2024,512.84,27.75,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054505013,pending,5/22/2024,405.86,21.96,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054505005,pending,5/22/2024,405.86,21.96,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054505003,pending,5/22/2024,392.86,21.26,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504998,pending,5/22/2024,392.86,21.26,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504997,pending,5/22/2024,512.84,27.75,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504975,pending,5/22/2024,392.86,21.26,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504967,pending,5/22/2024,512.84,27.75,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504953,pending,5/22/2024,512.84,27.75,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504950,pending,5/22/2024,405.86,21.96,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504944,pending,5/22/2024,602.84,32.62,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504943,pending,5/22/2024,512.84,27.75,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504933,pending,5/22/2024,512.84,27.75,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504927,pending,5/22/2024,405.86,21.96,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504914,pending,5/22/2024,405.86,21.96,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504906,pending,5/22/2024,512.84,27.75,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054504905,pending,5/22/2024,405.86,21.96,INR,T3LRWK3FsSj32V9ozSKz,Admitad
Hyyzo,Ajio [CPS] IN,1054503989,pending,5/22/2024,317.79,17.2,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503961,pending,5/22/2024,312.79,16.93,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503951,pending,5/22/2024,250.9,13.58,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503946,pending,5/22/2024,312.79,16.93,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503945,pending,5/22/2024,242.9,13.15,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503944,pending,5/22/2024,242.9,13.15,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503943,pending,5/22/2024,317.79,17.2,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503942,pending,5/22/2024,317.79,17.2,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503941,pending,5/22/2024,242.9,13.15,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503940,pending,5/22/2024,302.79,16.39,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503939,pending,5/22/2024,317.79,17.2,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503938,pending,5/22/2024,272.9,14.77,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503937,pending,5/22/2024,312.79,16.93,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503936,pending,5/22/2024,242.9,13.15,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503935,pending,5/22/2024,242.9,13.15,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503934,pending,5/22/2024,242.9,13.15,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503933,pending,5/22/2024,242.9,13.15,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503932,pending,5/22/2024,272.9,14.77,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503931,pending,5/22/2024,302.79,16.39,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503930,pending,5/22/2024,272.9,14.77,INR,K7VBdKWwGn6LzvNWBtIE,Admitad
Hyyzo,Ajio [CPS] IN,1054503617,pending,5/22/2024,327.84,17.74,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503595,pending,5/22/2024,312.84,16.93,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503576,pending,5/22/2024,302.84,16.39,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503575,pending,5/22/2024,327.84,17.74,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503549,pending,5/22/2024,405.82,21.96,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503547,pending,5/22/2024,312.84,16.93,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503541,pending,5/22/2024,467.81,25.31,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503529,pending,5/22/2024,152.9,8.28,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503523,pending,5/22/2024,312.84,16.93,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503522,pending,5/22/2024,122.9,6.65,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503521,pending,5/22/2024,452.82,24.5,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503518,pending,5/22/2024,312.84,16.93,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503505,pending,5/22/2024,302.84,16.39,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503501,pending,5/22/2024,212.9,11.52,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503480,pending,5/22/2024,302.84,16.39,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503467,pending,5/22/2024,152.9,8.28,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503466,pending,5/22/2024,312.84,16.93,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503465,pending,5/22/2024,312.84,16.93,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503464,pending,5/22/2024,312.84,16.93,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Ajio [CPS] IN,1054503463,pending,5/22/2024,302.84,16.39,INR,kdVrZVwISaX6Kh9JJgn7,Admitad
Hyyzo,Flipkart [CPS] IN,1054382771,pending,5/22/2024,149,2.8,INR,uLBroFtXFN1wfRRZzn82,Admitad
