Campaign_Name,Id,Status,Date,Amount,Payout,Currency,Sub_Id,Inventory,Partner,Email_Id
AliExpress WW,1054724026,pending,5/23/2024 13:00,3.56,0.02,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
AliExpress WW,1054724004,pending,5/23/2024 12:57,46.88,0.35,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
AliExpress WW,1054721725,pending,5/23/2024 12:05,22.8,0.17,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
AliExpress WW,1054696607,pending,5/23/2024 9:17,10.72,0.08,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Ajio [CPS] IN,1054500157,pending,5/22/2024 13:49,1393,58.51,INR,,Xocoupon,Admitad,contact@xocoupon.com
Ajio [CPS] IN,1054500123,pending,5/22/2024 13:48,429,18.02,INR,,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1054378065,pending,5/22/2024 7:12,0,0,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1054373445,pending,5/22/2024 6:05,1599,33.6,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Adorama WW,1054349057,pending,5/22/2024 0:04,281.91,5.64,EUR,tabm,Xocoupon,Admitad,contact@xocoupon.com
Pdffiller Many Geos,1054260033,pending,5/21/2024 12:09,0,0,USD,,Xocoupon,Admitad,contact@xocoupon.com
Firstcry [CPS] IN,1054061201,pending,5/20/2024 20:03,4269.63,35,INR,aab,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054725814,pending,5/19/2024 22:28,4.03,0.32,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054725767,pending,5/19/2024 19:28,139.99,11.2,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054725661,pending,5/19/2024 18:31,4.03,0.32,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054725858,pending,5/19/2024 16:26,9.99,0.8,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Flipkart [CPS] IN,1053689068,pending,5/19/2024 9:51,3599,35,INR,gmg,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054725816,pending,5/19/2024 7:26,10.83,0.87,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054725804,pending,5/19/2024 7:26,10.83,0.87,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054725791,pending,5/19/2024 7:26,10.83,0.87,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054725754,pending,5/19/2024 7:26,14.08,1.12,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054725744,pending,5/19/2024 7:26,10.83,0.87,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054725732,pending,5/19/2024 7:26,11.91,0.96,USD,tabm,Xocoupon,Admitad,contact@xocoupon.com
Udemy WW,1054725648,pending,5/19/2024 5:25,14.52,1.16,USD,avb,Xocoupon,Admitad,contact@xocoupon.com
