id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
1054500157,FN3441503626_467262531004,6420,1054500157,15591,Ajio [CPS] IN,xocoupon,,,IN,176,Cost per sale,sale,1393,pending,0,,,,,,58.51,INR,,,0,,5/22/2024 13:46,5/22/2024 13:49,,5/22/2024 13:49,1255073275,7404,5/22/2024 13:49,1393,58.51,4.2,762616,TRUE,,,,,,
1054500123,FN3441503626_465733104007,6420,1054500123,15591,Ajio [CPS] IN,xocoupon,,,IN,138,Cost per sale,sale,429,pending,0,,,,,,18.02,INR,,,0,,5/22/2024 13:46,5/22/2024 13:48,,5/22/2024 13:48,1255073248,7404,5/22/2024 13:48,429,18.02,4.2,762616,TRUE,,,,,,
1054378065,15962.5985.1280323,28955,1054378065,30956,Pdffiller Many Geos,Real Pricetracker,,,AU,682,Sale,sale,,pending,0,tabm,,,,,0,USD,,,0,,5/22/2024 7:00,5/22/2024 7:12,,5/22/2024 7:33,1254800522,63584,5/22/2024 7:12,0,0,0,,FALSE,,,,,,
1054373445,126674042,5200,1054373445,14627,Flipkart [CPS] IN,Real Pricetracker,,https://www.flipkart.com/,IN,87,New Customer,sale,1599,pending,0,gmg,,,,,33.6,INR,,,0,,5/22/2024 6:04,5/22/2024 6:05,,5/22/2024 6:23,1254795505,5686,5/22/2024 6:05,1599,33.6,2.11,,TRUE,,,,,,
1054349057,1036.5985.776928,10448,1054349057,18239,Adorama WW,Real Pricetracker,,,US,767,Paid order ,sale,281.91,pending,0,tabm,,,,,5.64,EUR,,,0,,5/21/2024 23:51,5/22/2024 0:04,,5/22/2024 0:21,1254769906,13106,5/22/2024 0:04,281.91,5.64,2.01,,TRUE,,,,,,
1054260033,15962.5985.31004,28955,1054260033,30956,Pdffiller Many Geos,Real Pricetracker,,,AU,804,Sale,sale,,pending,0,,,,,,0,USD,,,0,,5/21/2024 11:55,5/21/2024 12:09,,5/21/2024 12:27,1254663440,63584,5/21/2024 12:09,0,0,0,,FALSE,,,,,,
1054061201,17980080YRDA5176ED,5306,1054061201,14719,Firstcry [CPS] IN,Real Pricetracker,,,IN,44,Paid order - Sale,sale,4269.63,pending,0,aab,,,,,35,INR,,,0,,5/20/2024 20:03,5/20/2024 20:03,,5/20/2024 20:03,1254287821,5981,5/20/2024 20:03,4269.63,35,35,281962,FALSE,,13830531,,,,
1053689068,126014530,5200,1053689068,14627,Flipkart [CPS] IN,Real Pricetracker,,,US,322,New Customer,sale,3599,pending,0,gmg,,,,,35,INR,,,0,,5/19/2024 9:46,5/19/2024 9:51,,5/19/2024 11:21,1253767523,5686,5/19/2024 9:51,3599,35,0.98,,TRUE,,,,,,
1054497814,gpt-1080373254|course|4802626,16622,1054497814,22448,Udemy WW,Real Pricetracker,,,JP,275,Paid course,sale,8.35,pending,0,tabm,,,,,0.67,USD,,,0,,5/19/2024 2:19,5/19/2024 2:24,,5/22/2024 13:24,1255070102,21660,5/19/2024 2:24,8.35,0.67,8.03,,TRUE,,,,,,
1054497835,gpt-1080336920|course|1223900,16622,1054497835,22448,Udemy WW,Real Pricetracker,,,PL,262,Paid course,sale,7.65,pending,0,tabm,,,,,0.61,USD,,,0,,5/18/2024 23:21,5/18/2024 23:26,,5/22/2024 13:24,1255070123,21660,5/18/2024 23:26,7.65,0.61,7.98,,TRUE,,,,,,
