,Campaign_Name,Status,Payout,Currency,Date,Customer_city,Customer_Region,Customer_Country,Sub_Id
0,NordVPN,REVERSED,0.00,USD,2024-01-01,Woodstock,Georgia,US,gmg
1,Walmart Affiliate Program,APPROVED,0.11,USD,2024-01-01,Webster,Texas,US,gmg
2,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-01,Kalamazoo,Michigan,US,gmg
3,Walmart Affiliate Program,APPROVED,3.00,USD,2024-01-01,San Antonio,Texas,US,gmg
4,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-01,Arlington,Virginia,US,gmg
5,CASETiFY,APPROVED,4.05,USD,2024-01-01,Singapore,n/a,SG,gmg
6,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-01,Portland,Oregon,US,gmg
7,Walmart Affiliate Program,APPROVED,1.57,USD,2024-01-01,Lowell,Massachusetts,US,gmg
8,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-01,Columbus,Georgia,US,gmg
9,Walmart Affiliate Program,APPROVED,1.18,USD,2024-01-02,Springfield,Oregon,US,gmg
10,Walmart Affiliate Program,APPROVED,0.12,USD,2024-01-01,Richmond,Virginia,US,gmg
11,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Shreveport,Louisiana,US,gmg
12,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Warren,Michigan,US,gmg
13,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Potsdam,New York,US,gmg
14,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Dallas,Texas,US,gmg
15,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Herndon,Virginia,US,gmg
16,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Tucson,Arizona,US,gmg
17,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Allen,Texas,US,gmg
18,Walmart Affiliate Program,APPROVED,1.22,USD,2024-01-03,Oklahoma City,Oklahoma,US,gmg
19,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Richland,Michigan,US,gmg
20,Walmart Affiliate Program,APPROVED,1.11,USD,2024-01-02,Waterford,Michigan,US,gmg
21,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Bell Gardens,California,US,gmg
22,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Tucson,Arizona,US,gmg
23,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Las Vegas,Nevada,US,gmg
24,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-02,Port Morris,New York,US,gmg
25,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-02,Port Morris,New York,US,gmg
26,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-02,Port Morris,New York,US,gmg
27,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Portland,Oregon,US,gmg
28,Walmart Affiliate Program,APPROVED,1.50,USD,2024-01-02,Greenville,South Carolina,US,gmg
29,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Las Vegas,Nevada,US,gmg
30,Blinkist,APPROVED,0.00,USD,2024-01-01,Tulcea,Tulcea,RO,gmg
31,Walmart Affiliate Program,APPROVED,0.53,USD,2024-01-03,Kodiak Station,Alaska,US,gmg
32,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Everett,Washington,US,gmg
33,Walmart Affiliate Program,APPROVED,0.91,USD,2024-01-02,Brandon,Florida,US,gmg
34,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Chesterfield,Missouri,US,gmg
35,Walmart Affiliate Program,APPROVED,0.17,USD,2024-01-02,Latham,New York,US,gmg
36,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-02,Charlotte,North Carolina,US,gmg
37,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,The Villages,Florida,US,gmg
38,Walmart Affiliate Program,APPROVED,0.40,USD,2024-01-02,Pensacola,Florida,US,gmg
39,NordVPN,APPROVED,32.29,USD,2024-01-02,Weston,Ontario,CA,gmg
40,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Frisco,Texas,US,gmg
41,Walmart Affiliate Program,APPROVED,0.26,USD,2024-01-02,Seattle,Washington,US,gmg
42,NordVPN,APPROVED,32.29,USD,2024-01-02,n/a,n/a,US,gmg
43,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Latham,New York,US,gmg
44,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Charlotte,North Carolina,US,gmg
45,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Windsor,Connecticut,US,gmg
46,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-03,Tucson,Arizona,US,gmg
47,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,El Paso,Texas,US,gmg
48,NordVPN,APPROVED,32.29,USD,2024-01-02,Burbank,Illinois,US,gmg
49,Walmart Affiliate Program,APPROVED,0.63,USD,2024-01-03,Morgantown,West Virginia,US,gmg
50,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Eagle Mountain,Utah,US,gmg
51,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Eau Claire,Wisconsin,US,gmg
52,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-02,Reno,Nevada,US,gmg
53,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Manahawkin,New Jersey,US,gmg
54,Walmart Affiliate Program,APPROVED,0.60,USD,2024-01-04,Rialto,California,US,gmg
55,NordVPN,APPROVED,32.29,USD,2024-01-02,Lafayette,Louisiana,US,gmg
56,DHgate,APPROVED,0.69,USD,2024-01-04,Downers Grove,Illinois,US,gmg
57,DHgate,APPROVED,1.44,USD,2024-01-04,Downers Grove,Illinois,US,gmg
58,DHgate,REVERSED,0.00,USD,2024-01-04,Downers Grove,Illinois,US,gmg
59,DHgate,APPROVED,0.80,USD,2024-01-04,Downers Grove,Illinois,US,gmg
60,DHgate,APPROVED,1.38,USD,2024-01-04,Downers Grove,Illinois,US,gmg
61,DHgate,APPROVED,2.03,USD,2024-01-04,Downers Grove,Illinois,US,gmg
62,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Warren,Michigan,US,gmg
63,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-03,Stoughton,Wisconsin,US,gmg
64,Walmart Affiliate Program,APPROVED,0.22,USD,2024-01-03,Odessa,Missouri,US,gmg
65,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Macedon,New York,US,gmg
66,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Dallas,Texas,US,gmg
67,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-03,Flower Mound,Texas,US,gmg
68,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Macedon,New York,US,gmg
69,DHgate,APPROVED,5.88,USD,2024-01-04,Nuremberg,Bavaria,DE,gmg
70,Walmart Affiliate Program,APPROVED,0.04,USD,2024-01-03,North Richland Hills,Texas,US,gmg
71,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Portage,Indiana,US,gmg
72,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Boynton Beach,Florida,US,gmg
73,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Perris,California,US,gmg
74,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Phoenix,Arizona,US,gmg
75,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,North Richland Hills,Texas,US,gmg
76,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,St Louis,Missouri,US,gmg
77,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Riverton,Utah,US,gmg
78,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Littleton,Colorado,US,gmg
79,Walmart Affiliate Program,APPROVED,0.06,USD,2024-01-03,Las Vegas,Nevada,US,gmg
80,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Denton,Texas,US,gmg
81,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Philadelphia,Pennsylvania,US,gmg
82,Walmart Affiliate Program,APPROVED,1.62,USD,2024-01-03,Chesapeake,Virginia,US,gmg
83,NordVPN,APPROVED,5.20,USD,2024-01-02,Pickering,Ontario,CA,gmg
84,Walmart Affiliate Program,APPROVED,0.07,USD,2024-01-03,Dallas,Texas,US,gmg
85,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Oceanside,California,US,gmg
86,Walmart Affiliate Program,APPROVED,0.10,USD,2024-01-03,Latham,New York,US,gmg
87,Walmart Affiliate Program,APPROVED,0.54,USD,2024-01-03,Chesapeake,Virginia,US,gmg
88,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-04,Charlotte,North Carolina,US,gmg
89,NordVPN,APPROVED,32.29,USD,2024-01-02,Norfolk,Virginia,US,gmg
90,Walmart Affiliate Program,APPROVED,0.51,USD,2024-01-03,Plattsburgh,New York,US,gmg
91,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Chula Vista,California,US,gmg
92,Walmart Affiliate Program,APPROVED,0.07,USD,2024-01-03,Latham,New York,US,gmg
93,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Denver,Colorado,US,gmg
94,Walmart Affiliate Program,APPROVED,0.36,USD,2024-01-04,Las Vegas,Nevada,US,gmg
95,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-04,West Palm Beach,Florida,US,gmg
96,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Summerville,South Carolina,US,gmg
97,Walmart Affiliate Program,APPROVED,0.25,USD,2024-01-03,Amsterdam,New York,US,gmg
98,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Santa Ana,California,US,gmg
99,Walmart Affiliate Program,APPROVED,0.31,USD,2024-01-03,Sacramento,California,US,gmg
100,Walmart Affiliate Program,APPROVED,1.89,USD,2024-01-03,Menlo Park,California,US,gmg
101,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Arlington,Texas,US,gmg
102,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-03,Spokane,Washington,US,gmg
103,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Provo,Utah,US,gmg
104,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Shreveport,Louisiana,US,gmg
105,Walmart Affiliate Program,APPROVED,2.48,USD,2024-01-04,Bedford,Indiana,US,gmg
106,NordVPN,REVERSED,0.00,USD,2024-01-03,Neumünster,Schleswig-Holstein,DE,gmg
107,Walmart Affiliate Program,APPROVED,1.89,USD,2024-01-05,Menlo Park,California,US,gmg
108,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Fulton,Illinois,US,gmg
109,NordVPN,REVERSED,0.00,USD,2024-01-03,Lille,Hauts-de-France,FR,gmg
110,NordVPN,APPROVED,30.57,USD,2024-01-03,Edinburgh,Scotland,GB,gmg
111,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Gaffney,South Carolina,US,gmg
112,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Acworth,Georgia,US,gmg
113,Walmart Affiliate Program,APPROVED,0.19,USD,2024-01-05,Copperas Cove,Texas,US,gmg
114,Walmart Affiliate Program,APPROVED,1.01,USD,2024-01-04,Odessa,Missouri,US,gmg
115,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Bossier City,Louisiana,US,gmg
116,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Safety Harbor,Florida,US,gmg
117,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Latham,New York,US,gmg
118,Walmart Affiliate Program,APPROVED,0.23,USD,2024-01-05,Warner Robins,Georgia,US,gmg
119,Walmart Affiliate Program,APPROVED,3.20,USD,2024-01-04,Monroe,Georgia,US,gmg
120,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-05,Latham,New York,US,gmg
121,Walmart Affiliate Program,APPROVED,1.86,USD,2024-01-04,Troy,Missouri,US,gmg
122,Walmart Affiliate Program,APPROVED,0.34,USD,2024-01-05,Reno,Nevada,US,gmg
123,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Kodiak Station,Alaska,US,gmg
124,Walmart Affiliate Program,APPROVED,0.85,USD,2024-01-05,Belton,Texas,US,gmg
125,InVideo,APPROVED,0.00,USD,2024-01-03,Burlington,Wisconsin,US,gmg
126,DHgate,APPROVED,3.81,USD,2024-01-05,Caledonia,Ontario,CA,gmg
127,Walmart Affiliate Program,APPROVED,0.28,USD,2024-01-04,Edmond,Oklahoma,US,gmg
128,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-04,Plattsburgh,New York,US,gmg
129,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Chicago,Illinois,US,gmg
130,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Boca Raton,Florida,US,gmg
131,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-05,Kalamazoo,Michigan,US,gmg
132,Bubble,APPROVED,0.00,USD,2024-01-04,Tecumseh,Nebraska,US,gmg
133,Walmart Affiliate Program,APPROVED,0.10,USD,2024-01-05,Richmond,Virginia,US,gmg
134,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Philadelphia,Pennsylvania,US,gmg
135,Walmart Affiliate Program,APPROVED,22.68,USD,2024-01-05,Montebello,California,US,gmg
136,Walmart Affiliate Program,APPROVED,22.68,USD,2024-01-05,Montebello,California,US,gmg
137,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-05,Montebello,California,US,gmg
138,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Deltona,Florida,US,gmg
139,Walmart Affiliate Program,APPROVED,0.22,USD,2024-01-05,Sacramento,California,US,gmg
140,Walmart Affiliate Program,APPROVED,0.14,USD,2024-01-06,Morgantown,West Virginia,US,gmg
141,Walmart Affiliate Program,APPROVED,0.57,USD,2024-01-06,Tucson,Arizona,US,gmg
142,Walmart Affiliate Program,APPROVED,0.28,USD,2024-01-05,Lancaster,California,US,gmg
143,Walmart Affiliate Program,APPROVED,0.24,USD,2024-01-06,Portland,Oregon,US,gmg
144,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Warren,Michigan,US,gmg
145,DHgate,REVERSED,0.00,USD,2024-01-06,San Antonio,Texas,US,gmg
146,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Portage,Indiana,US,gmg
147,NordVPN,REVERSED,0.00,USD,2024-01-04,Los Angeles,California,US,gmg
148,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Virginia Beach,Virginia,US,gmg
149,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Chicago,Illinois,US,gmg
150,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-05,Queens,New York,US,gmg
151,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-05,Queens,New York,US,gmg
152,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-06,Lancaster,California,US,gmg
153,Walmart Affiliate Program,REVERSED,0.00,USD,2024-01-05,Queens,New York,US,gmg
154,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Salt Lake City,Utah,US,gmg
155,Walmart Affiliate Program,APPROVED,0.70,USD,2024-01-06,St Louis,Missouri,US,gmg
156,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Ottawa,Illinois,US,gmg
157,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Warner Robins,Georgia,US,gmg
158,Walmart Affiliate Program,APPROVED,0.00,USD,2024-01-05,Dallas,Texas,US,gmg
159,Walmart Affiliate Program,APPROVED,2.67,USD,2024-01-05,Winter Haven,Florida,US,gmg
160,DigitalOcean,APPROVED,0.00,USD,2024-01-06,Ashburn,Virginia,US,
161,Walmart Affiliate Program,APPROVED,0.30,USD,2024-01-05,San Antonio,Texas,US,gmg
162,Walmart Affiliate Program,APPROVED,3.78,USD,2024-01-05,Montebello,California,US,gmg
