Inventory,Campaign_Name,Id,Status,Date,Amount,Payout,Currency,Sub_Id
hyyzo,Ajio,15013982,payable,1/1/2024,3864,220.25,INR,CCk7o6pj0j1pkWkU0Kwe
,Ajio,15018691,rejected,1/2/2024,1041,59.34,INR,
hyyzo,Ajio,15019871,rejected,1/2/2024,1958,111.61,INR,s53rVoPx0G4VakzWp9NA
hyyzo,Ajio,15020512,payable,1/2/2024,3324,189.47,INR,RGiWGpoZ4CTP2w9zul5T
hyyzo,Ajio,15020603,payable,1/2/2024,3904,222.53,INR,0SuoZFJyeodeqOSUUM0F
hyyzo,Ajio,15027970,payable,1/3/2024,3862,220.13,INR,ttqH6kfrBAkInvUPoabx
hyyzo,Ajio,15028563,payable,1/3/2024,4088,233.02,INR,fLHSGnfg5mATuyhXVDS5
hyyzo,Ajio,15028658,payable,1/3/2024,3971,226.35,INR,kSNHYHOoj5uzIK2PxdGE
hyyzo,Ajio,15028705,payable,1/3/2024,4049,230.79,INR,g1qYlbRNdnKn3e768TJs
hyyzo,Ajio,15028878,payable,1/3/2024,3972,226.4,INR,18AHJ9OvBe9jgUVJkA7e
hyyzo,Ajio,15028911,rejected,1/3/2024,4078.02,232.45,INR,50aKEzZ6HBWgYUuRXMpI
hyyzo,Ajio,15052432,rejected,1/5/2024,2071,196.75,INR,Qo7KISz0d8P7IIc2Hbmd
hyyzo,Ajio,15052976,rejected,1/5/2024,1896,180.12,INR,TvnYBwhkLVHcrEM094m4
hyyzo,Ajio,15054904,payable,1/5/2024,3837,364.52,INR,2Fw84eJhrUXQRV0cK46t
,Croma Retail,15055156,validated,1/5/2024,156.600006,6.26,INR,
hyyzo,Ajio,15055383,payable,1/5/2024,4002,570.29,INR,i1cxFJe9f0NQO6rCyLnc
,Croma Retail,15055702,validated,1/5/2024,174,6.96,INR,
hyyzo,Ajio,15056231,payable,1/5/2024,1408,133.76,INR,qxnpwMuiENjEHSrO0JPU
,Tata Cliq,15059072,rejected,1/6/2024,699,17.89,INR,
hyyzo,Ajio,15060904,rejected,1/6/2024,5229,496.76,INR,xjgaJpFTd6stZtYvP5CW
hyyzo,Mama Earth,15069587,rejected,1/7/2024,339,67.8,INR,wkM0T6mmjJ1bifF62xBP
hyyzo,Ajio,15070244,rejected,1/7/2024,2092,198.74,INR,lT3THP1CPqxF5Ldn6Puy
hyyzo,Adidas,15070600,rejected,1/7/2024,1979.5,249.42,INR,gWtRNPy8Fo0VhNUg0eHw
hyyzo,Ajio,15072959,payable,1/1/2024,3864,220.25,INR,RA0KxH2aYMq0ZAgJSi0l
hyyzo,Ajio,15073102,payable,1/2/2024,1721,98.1,INR,0SuoZFJyeodeqOSUUM0F
,Ajio,15073413,payable,1/3/2024,1059,60.36,INR,
hyyzo,Ajio,15073580,payable,1/4/2024,1,0.06,INR,50aKEzZ6HBWgYUuRXMpI
,Ajio,15073756,rejected,1/4/2024,3943,224.75,INR,
hyyzo,Ajio,15074077,payable,1/5/2024,3937,374.02,INR,TvnYBwhkLVHcrEM094m4
hyyzo,Ajio,15074416,payable,1/6/2024,1939,184.21,INR,gAJXO45hOAhckiZ8SY1d
hyyzo,Ajio,15382398,rejected,1/31/2024,1820,207.48,INR,5LaTQHpg3Uq2ZAl5QL7a
hyyzo,Ajio,15382408,payable,1/31/2024,1764,201.1,INR,EHplvZ70qsSnlYmcg5JE
hyyzo,Ajio,15383055,rejected,1/31/2024,1827,208.28,INR,y5xHtuUbYyy2raul9eoj
hyyzo,Ajio,15383114,rejected,1/31/2024,1827,208.28,INR,Tj2EhORIkoPu6pptRRET
hyyzo,Ajio,15383126,rejected,1/31/2024,1827,208.28,INR,YcPXJTwnDWfy6rVUeVRS
hyyzo,Ajio,15383177,payable,1/31/2024,1798,204.97,INR,PRPVTSZyYI7du06QeSK7
hyyzo,Ajio,15383504,payable,1/31/2024,1826,208.16,INR,dup1JuDoqgpg0qg1wGuS
hyyzo,Ajio,15396954,validated,2/1/2024,1765,167.68,INR,XZN8ITpuFM9PnbamaDbK
hyyzo,Ajio,15397014,rejected,2/1/2024,1838,104.77,INR,lYqZwumh0v9QFlt0w4WV
hyyzo,Ajio,15397095,rejected,2/1/2024,1884,107.39,INR,DCSQEi0pOn7M7KoFVpxo
hyyzo,Ajio,15397197,validated,2/1/2024,1766,167.77,INR,NPPXpw9aP5OGLkV9zeGo
hyyzo,Ajio,15397475,validated,2/1/2024,1763,167.49,INR,rjE4pvg2LosZ6cwnIPwx
hyyzo,Ajio,15397632,rejected,2/1/2024,1839.01,104.82,INR,86tNqJTBBB7ah4EkLT8a
hyyzo,Ajio,15397740,validated,2/1/2024,1810,171.95,INR,1l0HtwbMEx30OKMfFvZB
hyyzo,Ajio,15397754,validated,2/1/2024,1765,167.68,INR,axUXiuDRCbmNW5qsjjxl
hyyzo,Ajio,15397937,validated,2/1/2024,1765,167.68,INR,0j6c48je3znqCWZ25sUJ
hyyzo,Ajio,15398232,rejected,2/1/2024,1793.99,102.26,INR,KeQqbISctHCaTM77QG9q
hyyzo,Ajio,15398424,validated,2/1/2024,1765,167.68,INR,Z2OtmdaWim8N2zIXi3IU
