,Id,CampaignId,CampaignName,ActionTrackerName,ActionTrackerId,EventCode,State,AdId,Payout,DeltaPayout,IntendedPayout,Amount,DeltaAmount,IntendedAmount,Currency,ReferringDate,EventDate,CreationDate,LockingDate,ClearedDate,ReferringType,ReferringDomain,PromoCode,Oid,CustomerArea,CustomerCity,CustomerRegion,CustomerCountry,SubId1,SubId2,SubId3,SharedId,Uri
0,15608.5845.152508,15608,Airalo - The World's First eSIM Store,Sale,29336,,APPROVED,1268485,1.10,1.10,1.10,11.00,11.00,11.00,USD,2024-01-02T18:36:44+05:30,2024-01-02T18:38:35+05:30,2024-01-02T18:46:14+05:30,2024-02-08T05:30:00+05:30,2024-02-28T05:51:11+05:30,CLICK_COOKIE,,,,N/A,Nova Iguaçu,Rio de Janeiro,BR,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15608.5845.152508
1,15586.5849.973054,15586,Wondershare Software,Online Sale,29280,,APPROVED,1266848,8.89,8.89,8.89,29.64,29.64,29.64,USD,2024-01-07T04:46:22+05:30,2024-01-07T04:46:24+05:30,2024-01-07T04:54:26+05:30,2024-02-28T10:30:00+05:30,2024-03-26T09:50:39+05:30,CLICK_COOKIE,,,,N/A,Rio de Janeiro,Rio de Janeiro,BR,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15586.5849.973054
2,15608.5852.367974,15608,Airalo - The World's First eSIM Store,Sale,29336,,APPROVED,1268485,1.00,1.00,1.00,10.00,10.00,10.00,USD,2024-01-09T22:56:10+05:30,2024-01-09T22:58:57+05:30,2024-01-09T23:07:16+05:30,2024-02-08T05:30:00+05:30,2024-02-28T05:51:11+05:30,CLICK_COOKIE,,ITAY0434,,N/A,Shrewsbury,Massachusetts,US,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15608.5852.367974
3,15586.5852.545775,15586,Wondershare Software,Online Sale,29280,,APPROVED,1266848,9.00,9.00,9.00,29.99,29.99,29.99,USD,2024-01-10T00:40:30+05:30,2024-01-10T00:41:11+05:30,2024-01-10T00:50:40+05:30,2024-02-28T10:30:00+05:30,2024-03-26T09:50:39+05:30,CLICK_COOKIE,,,,N/A,Queens,New York,US,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15586.5852.545775
4,12282.5855.200384,12282,Hostinger,Online Sale,22574,,APPROVED,888231,27.55,27.55,27.55,68.88,68.88,68.88,USD,2024-01-12T19:36:40+05:30,2024-01-12T19:37:04+05:30,2024-01-12T19:44:13+05:30,2024-03-16T02:30:00+05:30,2024-04-14T02:41:16+05:30,CLICK_COOKIE,,,,N/A,Feira de Santana,Bahia,BR,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/12282.5855.200384
5,15608.5857.372596,15608,Airalo - The World's First eSIM Store,Sale,29336,,APPROVED,1268485,0.60,0.60,0.60,6.00,6.00,6.00,USD,2024-01-14T23:06:50+05:30,2024-01-14T23:07:45+05:30,2024-01-14T23:15:15+05:30,2024-02-08T05:30:00+05:30,2024-02-28T05:51:11+05:30,CLICK_COOKIE,,ANTONI6034,,N/A,Ronda,Andalusia,ES,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15608.5857.372596
6,15608.5857.382671,15608,Airalo - The World's First eSIM Store,Sale,29336,,APPROVED,1268485,0.60,0.60,0.60,6.00,6.00,6.00,USD,2024-01-14T23:13:49+05:30,2024-01-14T23:18:25+05:30,2024-01-14T23:26:14+05:30,2024-02-08T05:30:00+05:30,2024-02-28T05:51:11+05:30,CLICK_COOKIE,,JAIRO5416,,N/A,Ronda,Andalusia,ES,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15608.5857.382671
7,15608.5857.420504,15608,Airalo - The World's First eSIM Store,Sale,29336,,APPROVED,1268485,0.45,0.45,0.45,4.50,4.50,4.50,USD,2024-01-14T23:57:43+05:30,2024-01-14T23:58:28+05:30,2024-01-15T00:07:18+05:30,2024-02-08T05:30:00+05:30,2024-02-28T05:51:11+05:30,CLICK_COOKIE,,,,N/A,Ronda,Andalusia,ES,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15608.5857.420504
8,12282.5858.1004297,12282,Hostinger,Online Sale,22574,,APPROVED,888231,15.72,15.72,15.72,39.30,39.30,39.30,USD,2024-01-16T06:45:09+05:30,2024-01-16T06:46:15+05:30,2024-01-16T06:54:22+05:30,2024-03-16T02:30:00+05:30,2024-04-14T02:41:16+05:30,CLICK_COOKIE,,,,N/A,Totana,Murcia,ES,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/12282.5858.1004297
9,12282.5859.586146,12282,Hostinger,Online Sale,22574,,APPROVED,888231,15.97,15.97,15.97,39.94,39.94,39.94,USD,2024-01-17T00:46:25+05:30,2024-01-17T00:52:09+05:30,2024-01-17T01:01:33+05:30,2024-03-16T02:30:00+05:30,2024-04-14T02:41:16+05:30,CLICK_COOKIE,,WILLIANDOTRAFEGO,,N/A,Juiz de Fora,Minas Gerais,BR,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/12282.5859.586146
10,12282.5860.499035,12282,Hostinger,Online Sale,22574,,APPROVED,888231,17.53,17.53,17.53,43.82,43.82,43.82,USD,2024-01-18T01:11:25+05:30,2024-01-18T01:11:37+05:30,2024-01-18T01:20:44+05:30,2024-03-16T02:30:00+05:30,2024-04-14T02:41:16+05:30,CLICK_COOKIE,,,,N/A,Guarulhos,Sao Paulo,BR,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/12282.5860.499035
11,1733.5861.290975,1733,MacPaw,MacPaw Sale,4047,,APPROVED,66209,3.06,3.06,3.06,30.55,30.55,30.55,USD,2024-01-16T21:20:15+05:30,2024-01-18T22:02:41+05:30,2024-01-18T22:11:17+05:30,2024-02-16T13:30:00+05:30,2024-02-16T14:07:09+05:30,CLICK_COOKIE,,,,N/A,Guadalajara,Jalisco,MX,fs,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/1733.5861.290975
12,12282.5863.526126,12282,Hostinger,Online Sale,22574,,APPROVED,888231,161.47,161.47,161.47,403.66,403.66,403.66,USD,2024-01-20T23:33:21+05:30,2024-01-20T23:41:41+05:30,2024-01-20T23:50:19+05:30,2024-03-16T02:30:00+05:30,2024-04-14T02:41:16+05:30,CLICK_COOKIE,,,,n/a,Gurugram,Haryana,IN,5OeGY7jsA24KrYMsSrKb,203,hyyzo,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/12282.5863.526126
13,15608.5870.1069432,15608,Airalo - The World's First eSIM Store,Sale,29336,,APPROVED,1268485,0.45,0.45,0.45,4.50,4.50,4.50,USD,2024-01-28T09:58:29+05:30,2024-01-28T09:58:32+05:30,2024-01-28T10:08:12+05:30,2024-02-08T05:30:00+05:30,2024-02-28T05:51:11+05:30,CLICK_COOKIE,,,,N/A,Palo Negro,Aragua,VE,gmg,,,,/Mediapartners/IRXXsjceaKKb3321333MEX88pArHEUWfn1/Actions/15608.5870.1069432
