Inventory,Campaign_Name,Id,Status,Date,Amount,Payout,Currency,Sub_Id,Partner,Email_Id
Hyzzo,Airalo - The World's First eSIM Store,15608.5845.152508,APPROVED,2024-01-02,11.00,1.10,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Wondershare Software,15586.5849.973054,APPROVED,2024-01-07,29.64,8.89,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Airalo - The World's First eSIM Store,15608.5852.367974,APPROVED,2024-01-09,10.00,1.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Wondershare Software,15586.5852.545775,APPROVED,2024-01-10,29.99,9.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Hostinger,12282.5855.200384,APPROVED,2024-01-12,68.88,27.55,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Airalo - The World's First eSIM Store,15608.5857.372596,APPROVED,2024-01-14,6.00,0.60,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Airalo - The World's First eSIM Store,15608.5857.382671,APPROVED,2024-01-14,6.00,0.60,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Airalo - The World's First eSIM Store,15608.5857.420504,APPROVED,2024-01-15,4.50,0.45,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Hostinger,12282.5858.1004297,APPROVED,2024-01-16,39.30,15.72,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Hostinger,12282.5859.586146,APPROVED,2024-01-17,39.94,15.97,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Hostinger,12282.5860.499035,APPROVED,2024-01-18,43.82,17.53,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,MacPaw,1733.5861.290975,APPROVED,2024-01-18,30.55,3.06,USD,fs,Impact,partner@hyyzo.com
Hyzzo,Hostinger,12282.5863.526126,APPROVED,2024-01-20,403.66,161.47,USD,5OeGY7jsA24KrYMsSrKb,Impact,partner@hyyzo.com
Hyzzo,Airalo - The World's First eSIM Store,15608.5870.1069432,APPROVED,2024-01-28,4.50,0.45,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Airalo - The World's First eSIM Store,15608.5870.1295792,APPROVED,2024-01-28,8.50,0.85,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,ELEGOO,19663.5871.988022,APPROVED,2024-01-29,69.99,3.50,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,ELEGOO,19663.5875.161743,REVERSED,2024-02-01,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,ELEGOO,19663.5878.731972,APPROVED,2024-02-05,65.76,3.29,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Surfshark,9043.5880.175540,REVERSED,2024-02-06,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,ELEGOO,19663.5882.13215,APPROVED,2024-02-08,91.50,4.60,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,Hostinger,12282.5883.243508,APPROVED,2024-02-09,163.24,65.30,USD,gmg,Impact,partner@hyyzo.com
Hyzzo,ELEGOO,19663.5885.1496226,REVERSED,2024-02-12,0.00,0.00,USD,gmg,Impact,partner@hyyzo.com
