,index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
0,0,1054500157,FN3441503626_467262531004,6420,1054500157,15591,Ajio [CPS] IN,xocoupon,,,IN,176,Cost per sale,sale,1393.0,pending,0,,,,,,58.51,INR,,,0,,2024-05-22 13:46:06,2024-05-22 13:49:02,,2024-05-22 13:49:03,1255073275,7404,2024-05-22 13:49:02,1393.00,58.51,4.20,762616.0,True,,,,,,
1,1,1054500123,FN3441503626_465733104007,6420,1054500123,15591,Ajio [CPS] IN,xocoupon,,,IN,138,Cost per sale,sale,429.0,pending,0,,,,,,18.02,INR,,,0,,2024-05-22 13:46:06,2024-05-22 13:48:24,,2024-05-22 13:48:24,1255073248,7404,2024-05-22 13:48:24,429.00,18.02,4.20,762616.0,True,,,,,,
2,2,1054378065,15962.5985.1280323,28955,1054378065,30956,Pdffiller Many Geos,Real Pricetracker,,,AU,682,Sale,sale,,pending,0,tabm,,,,,0.0,USD,,,0,,2024-05-22 07:00:53,2024-05-22 07:12:15,,2024-05-22 07:33:23,1254800522,63584,2024-05-22 07:12:15,0.00,0.00,0.00,,False,,,,,,
3,3,1054373445,126674042,5200,1054373445,14627,Flipkart [CPS] IN,Real Pricetracker,,https://www.flipkart.com/,IN,87,New Customer,sale,1599.0,pending,0,gmg,,,,,33.6,INR,,,0,,2024-05-22 06:04:26,2024-05-22 06:05:53,,2024-05-22 06:23:19,1254795505,5686,2024-05-22 06:05:53,1599.00,33.60,2.11,,True,,,,,,
4,4,1054349057,1036.5985.776928,10448,1054349057,18239,Adorama WW,Real Pricetracker,,,US,767,Paid order ,sale,281.91,pending,0,tabm,,,,,5.64,EUR,,,0,,2024-05-21 23:51:28,2024-05-22 00:04:15,,2024-05-22 00:21:11,1254769906,13106,2024-05-22 00:04:15,281.91,5.64,2.01,,True,,,,,,
5,5,1054260033,15962.5985.31004,28955,1054260033,30956,Pdffiller Many Geos,Real Pricetracker,,,AU,804,Sale,sale,,pending,0,,,,,,0.0,USD,,,0,,2024-05-21 11:55:51,2024-05-21 12:09:15,,2024-05-21 12:27:23,1254663440,63584,2024-05-21 12:09:15,0.00,0.00,0.00,,False,,,,,,
6,6,1054061201,17980080YRDA5176ED,5306,1054061201,14719,Firstcry [CPS] IN,Real Pricetracker,,,IN,44,Paid order - Sale,sale,4269.63,pending,0,aab,,,,,35.0,INR,,,0,,2024-05-20 20:03:03,2024-05-20 20:03:47,,2024-05-20 20:03:47,1254287821,5981,2024-05-20 20:03:47,4269.63,35.00,35.00,281962.0,False,,13830531,,,,
7,7,1053689068,126014530,5200,1053689068,14627,Flipkart [CPS] IN,Real Pricetracker,,,US,322,New Customer,sale,3599.0,pending,0,gmg,,,,,35.0,INR,,,0,,2024-05-19 09:46:15,2024-05-19 09:51:37,,2024-05-19 11:21:48,1253767523,5686,2024-05-19 09:51:37,3599.00,35.00,0.98,,True,,,,,,
8,8,1054497814,gpt-1080373254|course|4802626,16622,1054497814,22448,Udemy WW,Real Pricetracker,,,JP,275,Paid course,sale,8.35,pending,0,tabm,,,,,0.67,USD,,,0,,2024-05-19 02:19:25,2024-05-19 02:24:00,,2024-05-22 13:24:06,1255070102,21660,2024-05-19 02:24:00,8.35,0.67,8.03,,True,,,,,,
9,9,1054497835,gpt-1080336920|course|1223900,16622,1054497835,22448,Udemy WW,Real Pricetracker,,,PL,262,Paid course,sale,7.65,pending,0,tabm,,,,,0.61,USD,,,0,,2024-05-18 23:21:38,2024-05-18 23:26:00,,2024-05-22 13:24:07,1255070123,21660,2024-05-18 23:26:00,7.65,0.61,7.98,,True,,,,,,
