index,id_x,order_id,tariff_id_x,action_id,advcampaign_id,advcampaign_name,website_name,click_user_ip,click_user_referer,click_country_code,conversion_time,action,action_type,cart,status,processed,subid,subid1,subid2,subid3,subid4,payment_x,currency,keyword,comment,positions,paid,promocode,click_date,action_date,closing_date,status_updated,id_y,tariff_id_y,datetime,amount,payment_y,rate,rate_id,percentage,product_url,product_id,product_image,product_name,product_category_id,product_category_name
0,1034113042,203733046001020152,14042,1034113042,20881,Alibaba WW,Real Pricetracker,,,US,336117,Paid order ,sale,56.0,pending,0,,,,,,3.9,USD,,,"[{'id': 1223383119, 'tariff_id': 18192, 'datetime': '2024-03-04 09:49:47', 'amount': '56.00', 'payment': '3.02', 'rate': '5.40', 'rate_id': 343578, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-29 12:27:50,2024-03-04 09:49:47,,2024-03-04 09:49:47,1223383119,18192,2024-03-04 09:49:47,56.00,3.02,5.40,343578.0,True,,,,,,
1,1034112886,203660818501028312,14042,1034112886,20881,Alibaba WW,Real Pricetracker,,,BR,413024,Paid order ,sale,35.0,approved,1,,,,,,1.34,USD,,,"[{'id': 1223382934, 'tariff_id': 18192, 'datetime': '2024-03-04 09:48:04', 'amount': '35.00', 'payment': '1.89', 'rate': '5.40', 'rate_id': 343578, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-28 15:04:20,2024-03-04 09:48:04,2024-05-16,2024-05-15 14:21:21,1223382934,18192,2024-03-04 09:48:04,35.00,1.89,5.40,343578.0,True,,,,,,
2,1034112605,203726494001020100,14042,1034112605,20881,Alibaba WW,Real Pricetracker,,,PL,566990,Paid order ,sale,33.0,declined,1,,,,,,2.3,USD,,,"[{'id': 1223382649, 'tariff_id': 18192, 'datetime': '2024-03-04 09:47:08', 'amount': '33.00', 'payment': '1.78', 'rate': '5.40', 'rate_id': 343578, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-26 20:17:18,2024-03-04 09:47:08,2024-05-23,2024-05-22 13:12:30,1223382649,18192,2024-03-04 09:47:08,33.00,1.78,5.40,343578.0,True,,,,,,
3,1034112582,203701154501026153,14042,1034112582,20881,Alibaba WW,Real Pricetracker,,,US,277609,Paid order ,sale,455.0,declined,1,,,,,,32.0,USD,,,"[{'id': 1223382622, 'tariff_id': 18192, 'datetime': '2024-03-04 09:46:59', 'amount': '455.00', 'payment': '24.57', 'rate': '5.40', 'rate_id': 343578, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-03-01 04:40:10,2024-03-04 09:46:59,2024-05-23,2024-05-22 13:12:30,1223382622,18192,2024-03-04 09:46:59,455.00,24.57,5.40,343578.0,True,,,,,,
4,1034112463,203695799001020045,14042,1034112463,20881,Alibaba WW,Real Pricetracker,,,VE,829255,Paid order ,sale,183.2,approved,1,,,,,,8.45,USD,,,"[{'id': 1223382489, 'tariff_id': 18192, 'datetime': '2024-03-04 09:45:36', 'amount': '183.20', 'payment': '9.89', 'rate': '5.40', 'rate_id': 343578, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-23 19:24:41,2024-03-04 09:45:36,2024-05-16,2024-05-15 14:21:39,1223382489,18192,2024-03-04 09:45:36,183.20,9.89,5.40,343578.0,True,,,,,,
5,1034112331,203683379001022635,14042,1034112331,20881,Alibaba WW,Real Pricetracker,,,US,353720,Paid order ,sale,136.0,pending,0,,,,,,9.5,USD,,,"[{'id': 1223382358, 'tariff_id': 18192, 'datetime': '2024-03-04 09:44:12', 'amount': '136.00', 'payment': '7.34', 'rate': '5.40', 'rate_id': 343578, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-29 07:28:52,2024-03-04 09:44:12,,2024-03-04 09:44:12,1223382358,18192,2024-03-04 09:44:12,136.00,7.34,5.40,343578.0,True,,,,,,
6,1034111787,203692306501022922,14042,1034111787,20881,Alibaba WW,Real Pricetracker,,,NL,950301,Paid order ,sale,211.5,declined,1,,,,,,15.0,USD,,,"[{'id': 1223381711, 'tariff_id': 18192, 'datetime': '2024-03-04 09:41:35', 'amount': '211.50', 'payment': '11.42', 'rate': '5.40', 'rate_id': 343578, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-22 09:43:14,2024-03-04 09:41:35,2024-05-23,2024-05-22 13:12:30,1223381711,18192,2024-03-04 09:41:35,211.50,11.42,5.40,343578.0,True,,,,,,
7,1034028538,203539358001029445,14042,1034028538,20881,Alibaba WW,Real Pricetracker,,,BR,1081300,Paid order ,sale,1068.0,approved,1,,,,,,49.29,USD,,,"[{'id': 1223215463, 'tariff_id': 18192, 'datetime': '2024-03-04 07:08:55', 'amount': '1068.00', 'payment': '57.67', 'rate': '5.40', 'rate_id': 343578, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-20 18:47:15,2024-03-04 07:08:55,2024-05-16,2024-05-15 14:21:17,1223215463,18192,2024-03-04 07:08:55,1068.00,57.67,5.40,343578.0,True,,,,,,
8,1034028323,203585354001028076,14042,1034028323,20881,Alibaba WW,Real Pricetracker,,,US,499364,Paid order ,sale,380.0,pending,0,,,,,,27.0,USD,,,"[{'id': 1223215229, 'tariff_id': 18192, 'datetime': '2024-03-04 07:07:41', 'amount': '380.00', 'payment': '20.52', 'rate': '5.40', 'rate_id': 343578, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-27 12:24:57,2024-03-04 07:07:41,,2024-03-04 07:07:41,1223215229,18192,2024-03-04 07:07:41,380.00,20.52,5.40,343578.0,True,,,,,,
9,1034027756,203667010001021386,14042,1034027756,20881,Alibaba WW,Real Pricetracker,,,US,1214086,Paid order ,sale,115.0,approved,1,,,,,,4.42,USD,,,"[{'id': 1223214636, 'tariff_id': 18192, 'datetime': '2024-03-04 07:02:23', 'amount': '115.00', 'payment': '6.21', 'rate': '5.40', 'rate_id': 343578, 'percentage': True, 'product_url': '', 'product_id': '', 'product_image': '', 'product_name': '', 'product_category_id': '', 'product_category_name': ''}]",0,,2024-02-19 05:47:37,2024-03-04 07:02:23,2024-05-16,2024-05-15 14:21:15,1223214636,18192,2024-03-04 07:02:23,115.00,6.21,5.40,343578.0,True,,,,,,
