Adv. Campaign,Clicks,Time
Adobe,67086,A-Jan'23
Udemy WW,122240,A-Jan'23
NordVPN,3822,A-Jan'23
Macy's Many GEOs,14284,A-Jan'23
Lenovo Many GEOs,13593,A-Jan'23
Microsoft [CPS] IN US APAC,178288,A-Jan'23
GoDaddy [CPS] APAC,14129,A-Jan'23
ZipRecruiter US,18781,A-Jan'23
Flipkart,20425,A-Jan'23
Trainline WW,61456,A-Jan'23
Shutterstock WW,22744,A-Jan'23
Wondershare WW,7933,A-Jan'23
Etihad [CPS] WW,6194,A-Jan'23
Nike [CPS] APAC,165846,A-Jan'23
Cleartrip [CPS] IN,3626,A-Jan'23
Ancestry US CA UK AU DE,38085,A-Jan'23
Norton [CPS] WW,7962,A-Jan'23
Nykaa Beauty [CPS] IN,6095,A-Jan'23
Fernsnpetals [CPS] IN,5638,A-Jan'23
Samsung [CPS] IN,31063,A-Jan'23
Tenorshare [CPS] WW,4063,A-Jan'23
Nykaafashion [CPS] IN,5349,A-Jan'23
H&M Many GEOs,1288,A-Jan'23
Depositphotos [CPS] WW,1276,A-Jan'23
Myntra,2833,A-Jan'23
Firstcry [CPS] IN,3777,A-Jan'23
GoNoise [CPS] IN,1007,A-Jan'23
Netmeds Web [CPS] IN,3900,A-Jan'23
Vistara [CPS] IN,1407,A-Jan'23
Jack&Jones [CPS] IN,1846,A-Jan'23
Wish Many GEO's,3238,A-Jan'23
GOINDIGO [ CPS ] IN,7877,A-Jan'23
Croma [CPS] IN,8297,A-Jan'23
Alamy WW,2462,A-Jan'23
Veromoda [CPS] IN,1206,A-Jan'23
Urbanic [CPS] IN,1961,A-Jan'23
Banggood,2070,A-Jan'23
Alibaba WW,25812,A-Jan'23
Insider [CPS] IN,7017,A-Jan'23
TheOutNet GCC,1453,A-Jan'23
Medibuddy [CPS] IN,1098,A-Jan'23
InVideo WW,1524,A-Jan'23
Adobe,40765,B-Feb'23
Udemy WW,123945,B-Feb'23
Lenovo Many GEOs,14416,B-Feb'23
Shutterstock WW,22061,B-Feb'23
Norton [CPS] WW,9110,B-Feb'23
Microsoft [CPS] IN US APAC,142239,B-Feb'23
Macy's Many GEOs,10788,B-Feb'23
Samsung [CPS] IN,33736,B-Feb'23
GoDaddy [CPS] APAC,10396,B-Feb'23
Trainline WW,49241,B-Feb'23
Etihad [CPS] WW,3768,B-Feb'23
ZipRecruiter US,9743,B-Feb'23
Wondershare WW,4582,B-Feb'23
Cleartrip [CPS] IN,3029,B-Feb'23
Nike [CPS] APAC,100543,B-Feb'23
Nykaa Beauty [CPS] IN,4877,B-Feb'23
Nykaafashion [CPS] IN,3502,B-Feb'23
Ancestry US CA UK AU DE,23370,B-Feb'23
Fernsnpetals [CPS] IN,1233,B-Feb'23
Tenorshare [CPS] WW,2447,B-Feb'23
Firstcry [CPS] IN,2650,B-Feb'23
Netmeds Web [CPS] IN,1975,B-Feb'23
Alamy WW,1834,B-Feb'23
Wish Many GEO's,2201,B-Feb'23
GOINDIGO [ CPS ] IN,4817,B-Feb'23
Croma [CPS] IN,1083,B-Feb'23
Banggood,2733,B-Feb'23
Alibaba WW,26184,B-Feb'23
Insider [CPS] IN,4545,B-Feb'23
Udemy WW,133586,C-Mar'23
Lenovo Many GEOs,14835,C-Mar'23
Macy's Many GEOs,10649,C-Mar'23
Shutterstock WW,22227,C-Mar'23
Wondershare WW,4978,C-Mar'23
ZipRecruiter US,11791,C-Mar'23
Trainline WW,58576,C-Mar'23
Microsoft [CPS] IN US APAC,170690,C-Mar'23
GoDaddy [CPS] APAC,11386,C-Mar'23
Norton [CPS] WW,9118,C-Mar'23
Samsung [CPS] IN,28043,C-Mar'23
Ancestry US CA UK AU DE,26738,C-Mar'23
Etihad [CPS] WW,3009,C-Mar'23
Nike [CPS] APAC,110209,C-Mar'23
Nykaafashion [CPS] IN,4739,C-Mar'23
Cleartrip [CPS] IN,2670,C-Mar'23
Nykaa Beauty [CPS] IN,4890,C-Mar'23
Firstcry [CPS] IN,2600,C-Mar'23
Zivame [CPS] IN,1206,C-Mar'23
Netmeds Web [CPS] IN,2346,C-Mar'23
Tenorshare [CPS] WW,2467,C-Mar'23
Wish Many GEO's,2241,C-Mar'23
Vistara [CPS] IN,1041,C-Mar'23
GOINDIGO [ CPS ] IN,5929,C-Mar'23
Alamy WW,2138,C-Mar'23
Urbanic [CPS] IN,1174,C-Mar'23
Banggood,3556,C-Mar'23
Alibaba WW,28009,C-Mar'23
Insider [CPS] IN,5151,C-Mar'23
TheOutNet GCC,1294,C-Mar'23
Udemy WW,118232,D-Apr'23
Macy's Many GEOs,12095,D-Apr'23
Shutterstock WW,23142,D-Apr'23
ZipRecruiter US,13455,D-Apr'23
Trainline WW,64542,D-Apr'23
Microsoft [CPS] IN US APAC,156635,D-Apr'23
Lenovo Many GEOs,12538,D-Apr'23
Norton [CPS] WW,6586,D-Apr'23
Wondershare WW,5718,D-Apr'23
Flipkart,1778,D-Apr'23
GoDaddy [CPS] APAC,10143,D-Apr'23
Nike [CPS] APAC,144284,D-Apr'23
Etihad [CPS] WW,3785,D-Apr'23
Nykaa Beauty [CPS] IN,4696,D-Apr'23
Ancestry US CA UK AU DE,21219,D-Apr'23
Nykaafashion [CPS] IN,5525,D-Apr'23
Samsung [CPS] IN,10369,D-Apr'23
Alibaba WW,25916,D-Apr'23
Netmeds Web [CPS] IN,2104,D-Apr'23
Firstcry [CPS] IN,2865,D-Apr'23
Tenorshare [CPS] WW,2443,D-Apr'23
GOINDIGO [ CPS ] IN,5751,D-Apr'23
Wish Many GEO's,1965,D-Apr'23
Alamy WW,2227,D-Apr'23
Urbanic [CPS] IN,1565,D-Apr'23
Veromoda [CPS] IN,1406,D-Apr'23
Banggood,3052,D-Apr'23
Vistara [CPS] IN,1324,D-Apr'23
Insider [CPS] IN,4340,D-Apr'23
TheOutNet GCC,1466,D-Apr'23
Udemy WW,92762,E-May'23
Lenovo Many GEOs,13748,E-May'23
ZipRecruiter US,12071,E-May'23
Macy's Many GEOs,10666,E-May'23
Trainline WW,52976,E-May'23
Microsoft [CPS] IN US APAC,142062,E-May'23
Nike [CPS] APAC,121166,E-May'23
Norton [CPS] WW,6719,E-May'23
Shutterstock WW,22093,E-May'23
Wondershare WW,4709,E-May'23
Nykaa Beauty [CPS] IN,5427,E-May'23
Ancestry US CA UK AU DE,16955,E-May'23
Myntra,7432,E-May'23
Nykaafashion [CPS] IN,4309,E-May'23
Flipkart,1381,E-May'23
Alamy WW,1812,E-May'23
Wish Many GEO's,1697,E-May'23
Ajio,3184,E-May'23
Netmeds Web [CPS] IN,2452,E-May'23
Urbanic [CPS] IN,2078,E-May'23
GOINDIGO [ CPS ] IN,4920,E-May'23
Vistara [CPS] IN,1166,E-May'23
Alibaba WW,20087,E-May'23
Admitad Lite,7780,E-May'23
Insider [CPS] IN,3056,E-May'23
TheOutNet GCC,1252,E-May'23
Lenovo Many GEOs,12551,G-Jul'23
Udemy WW,41243,G-Jul'23
Macy's Many GEOs,5758,G-Jul'23
Microsoft [CPS] IN US APAC,118528,G-Jul'23
ZipRecruiter US,11432,G-Jul'23
Norton [CPS] WW,6870,G-Jul'23
Wondershare WW,3583,G-Jul'23
Alibaba WW,7525,G-Jul'23
Alamy WW,1729,G-Jul'23
Nike [CPS] APAC,95277,G-Jul'23
Nykaa Beauty [CPS] IN,3762,G-Jul'23
Ancestry US CA UK AU DE,12304,G-Jul'23
Nykaafashion [CPS] IN,2623,G-Jul'23
Ajio,3397,G-Jul'23
Titan [CPS] IN,1136,G-Jul'23
Netmeds Web [CPS] IN,2521,G-Jul'23
Wish Many GEO's,1596,G-Jul'23
Trainline WW,49965,G-Jul'23
